Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Fresno,CA,36.7721345,-119.80862,Fresno Police Department,Vehicle
San Bernardino,CA,34.1287064,-117.32256,San Bernardino Police Department,Vehicle
Lakeview,CA,33.838657,-117.11832,Riverside County Sheriff's Department,Vehicle
San Bernardino,CA,34.121337,-117.27192,San Bernardino Police Department,Vehicle
Newport Beach,CA,33.6102837,-117.92884,Newport Beach Police Department,Vehicle
Union City,CA,37.5944173,-122.02275,Union City Police Department,Vehicle
San Antonio Heights,CA,34.1514211,-117.66106,Upland Police Department,Vehicle
Riverside,CA,33.89768,-117.48795,Riverside Police Department,Vehicle
Long Beach,CA,33.8545555,-118.18529,Long Beach Police Department,Vehicle
Vallejo,CA,38.085612,-122.20997,Vallejo Police Department,Vehicle
Los Angeles,CA,33.9833754,-118.31345,Los Angeles Police Department,Vehicle
Los Angeles,CA,33.9833754,-118.31345,Los Angeles Police Department,Vehicle
San Mateo,CA,37.586361,-122.32963,San Mateo Police Department,Vehicle
Diamond Bar,CA,34.0395753,-117.80025,Pomona Police Department,Vehicle
Berkeley,CA,37.8683069,-122.29769,University of California - Berkeley Police,Vehicle
Fresno,CA,36.832998,-119.97052,Fresno Police Department,Vehicle
Oakland,CA,37.8101869,-122.24882,Piedmont Police Department,Vehicle
Carlsbad,CA,33.16761,-117.34431,Oceanside Police Department,Vehicle
Carlsbad,CA,33.16761,-117.34431,Oceanside Police Department,Vehicle
Kentfield,CA,37.9475127,-122.52525,California Highway Patrol,Vehicle
Modesto,CA,37.6530626,-120.95741,Ceres Police Department,Vehicle
La Mesa,CA,32.7753165,-117.03151,La Mesa Police Department,Vehicle
Chula Vista,CA,32.6240719,-117.07237,Chula Vista Police Department,Vehicle
Los Angeles,CA,34.074801,-118.27319,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.074801,-118.27319,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.074801,-118.27319,Los Angeles Police Department,Vehicle
Hemet,CA,33.7727629,-117.00669,"Hemet Police Department, San Bernardino County Sheriff's Office",Vehicle
West Covina,CA,34.0616329,-117.93179,West Covina Police Department,Vehicle
West Covina,CA,34.0616329,-117.93179,West Covina Police Department,Vehicle
Chula Vista,CA,32.6136514,-117.05555,Chula Vista Police Department,Vehicle
Cottonwood,CA,40.406317,-122.28195,Anderson Police Department,Vehicle
La Verne,CA,34.1068048,-117.75974,La Verne Police Department,Vehicle
La Verne,CA,34.1068048,-117.75974,La Verne Police Department,Vehicle
Santa Clara,CA,37.3598259,-121.99591,"Sunnyvale Police Department, Santa Clara Police Department",Vehicle
Napa,CA,38.3422639,-122.29688,"Napa Police Department, Napa County Sheriff's Office",Vehicle
Sutter,CA,39.1465749,-121.83181,"Colusa County Sheriff's Office, Colusa Police Department",Vehicle
Sutter,CA,39.1465749,-121.83181,"Colusa County Sheriff's Office, Colusa Police Department",Vehicle
Newark,CA,37.5370522,-122.01908,Fremont Police Department,Vehicle
Antioch,CA,37.9981157,-121.82225,Antioch Police Department,Vehicle
Northridge,CA,34.2254127,-118.53539,California Highway Patrol,Vehicle
Northridge,CA,34.2254127,-118.53539,California Highway Patrol,Vehicle
Fresno,CA,36.7864345,-119.80863,Fresno County Sheriff's Office,Vehicle
Modesto,CA,37.637603,-120.98959,Modesto Police Department,Vehicle
Modesto,CA,37.637603,-120.98959,Modesto Police Department,Vehicle
San Jose,CA,37.294744,-121.81004,California Highway Patrol,Vehicle
Tustin,CA,33.741516,-117.83442,California Highway Patrol,Vehicle
Los Angeles,CA,34.0558471,-118.24009,California Highway Patrol,Vehicle
Los Angeles,CA,34.0558471,-118.24009,California Highway Patrol,Vehicle
Chowchilla,CA,37.0930041,-120.28928,California Highway Patrol,Vehicle
Garden Grove,CA,33.7596182,-117.95503,Los Angeles County Sheriff's Department,Vehicle
Long Beach,CA,33.7680885,-118.15895,Long Beach Police Department,Vehicle
Woodland,CA,38.7092247,-121.7466,Woodland Police Department,Vehicle
San Francisco,CA,37.785071,-122.39231,California Highway Patrol,Vehicle
Anderson,CA,40.459005,-122.29818,Anderson Police Department,Vehicle
North Sacramento,CA,38.6443165,-121.47654,Sacramento Police Department,Vehicle
Fresno,CA,36.7759126,-119.78154,Fresno Police Department,Vehicle
San Diego,CA,32.5675122,-116.94076,U.S. Border Patrol,Vehicle
San Diego,CA,32.5675122,-116.94076,U.S. Border Patrol,Vehicle
Whittier,CA,33.965854,-118.03742,Whittier Police Department,Vehicle
Stockton,CA,37.9847386,-121.33988,California Highway Patrol,Vehicle
San Jose,CA,37.2455274,-121.89198,San Jose Police Department,Vehicle
Moreno Valley,CA,33.9431935,-117.08355,Beaumont Police Department,Vehicle
Sacramento,CA,38.578489,-121.48209,California Highway Patrol,Vehicle
Porterville,CA,36.1042535,-119.04316,Tulare County Sheriff's Office,Vehicle
Boulevard,CA,32.705447,-116.36108,U.S. Border Patrol,Vehicle
Boulevard,CA,32.705447,-116.36108,U.S. Border Patrol,Vehicle
Boulevard,CA,32.705447,-116.36108,U.S. Border Patrol,Vehicle
San Pablo,CA,37.9626838,-122.34543,Contra Costa Sheriff's Office,Vehicle
Fallbrook,CA,33.40731,-117.16458,California Highway Patrol,Vehicle
Fallbrook,CA,33.40731,-117.16458,California Highway Patrol,Vehicle
Fresno,CA,36.7646949,-119.82679,"Fresno County Sheriff's Office, Fresno Police Department",Vehicle
Goleta,CA,34.465718,-120.06905,Lompoc Police Department,Vehicle
Riverside,CA,34.0266995,-117.37723,Riverside County Sheriff's Department,Vehicle
Modesto,CA,37.6499014,-120.92118,Stanislaus County Sheriff's Office,Vehicle
