Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Mission Viejo,CA,33.6092001,-117.66264,Orange County Sheriff's Department,Vehicle
Redding,CA,40.513302,-122.3661,Redding Police Department,Vehicle
Camarillo,CA,34.2236349,-119.05065,Ventura County Sheriff's Office,Vehicle
Gardena,CA,33.867175,-118.29058,Los Angeles Police Department,Vehicle
Huntington Beach,CA,33.701164,-117.99283,Santa Ana Police Department,Vehicle
Midway City,CA,33.7447921,-117.98102,Westminster Police Department,Vehicle
Berkeley,CA,37.852157,-122.28661,Albany Police Department,Vehicle
Thousand Palms,CA,33.8165608,-116.34645,California Highway Patrol,Vehicle
Yucca Valley,CA,34.1246666,-116.41014,San Bernardino County Sheriff's Office,Vehicle
Antioch,CA,38.0123108,-121.7902,Antioch Police Department,Vehicle
Antioch,CA,38.0123108,-121.7902,Antioch Police Department,Vehicle
Woodland Hills,CA,34.1727981,-118.57038,Los Angeles Police Department,Vehicle
Sylmar,CA,34.3080225,-118.42979,California Highway Patrol,Vehicle
San Bernardino,CA,34.1157942,-117.32255,San Bernardino Police Department,Vehicle
Sacramento,CA,38.6552489,-121.50914,"Sacramento County Sheriff's Office, Elk Grove Police Department",Vehicle
Hollister,CA,36.940973,-121.40815,California Highway Patrol,Vehicle
Hollister,CA,36.940973,-121.40815,California Highway Patrol,Vehicle
Hollister,CA,36.940973,-121.40815,California Highway Patrol,Vehicle
Oakland,CA,37.8254318,-122.28239,Oakland Police Department,Vehicle
Modesto,CA,37.609429,-120.99361,Modesto Police Department,Vehicle
El Cajon,CA,32.7949604,-116.97104,El Cajon Police Department,Vehicle
San Diego,CA,32.7441753,-117.21248,Harbor Police Department,Vehicle
Bakersfield,CA,35.4127046,-119.10988,Bakersfield Police Department,Vehicle
El Centro,CA,32.7928255,-115.55252,Imperial County Sheriff's Office,Vehicle
El Cajon,CA,32.8449189,-116.88123,"U.S. Customs and Border Protection, San Diego County Sheriff's Office, California Highway Patrol",Vehicle
Coarsegold,CA,37.2819253,-119.66479,Madera County Sheriff's Office,Vehicle
Port Hueneme,CA,34.1656682,-119.19517,Port Hueneme Police Department,Vehicle
San Jacinto,CA,33.7723389,-116.94367,San Jacinto Police Department,Vehicle
San Jacinto,CA,33.7723389,-116.94367,San Jacinto Police Department,Vehicle
Salinas,CA,36.6921347,-121.569,California Highway Patrol,Vehicle
San Francisco,CA,37.7674439,-122.40186,San Francisco Police Department,Vehicle
Pacoima,CA,34.2601936,-118.43363,California Highway Patrol,Vehicle
Windsor,CA,38.5363314,-122.826,Windsor Police Department,Vehicle
Sun Valley,CA,34.2367744,-118.3972,Los Angeles Police Department,Vehicle
Sun Valley,CA,34.2367744,-118.3972,Los Angeles Police Department,Vehicle
Fresno,CA,36.7395593,-119.73641,Fresno Police Department,Vehicle
Compton,CA,33.8896248,-118.2417,Long Beach Police Department,Vehicle
Simi Valley,CA,34.2556869,-118.76178,Simi Valley Police Department,Vehicle
Fresno,CA,36.793738,-119.85331,California Highway Patrol,Vehicle
Paramount,CA,33.8963701,-118.16006,"Los Angeles Police Department, Long Beach Police Department",Vehicle
Anaheim,CA,33.8373415,-117.91046,Anaheim Police Department,Vehicle
Anaheim,CA,33.8373415,-117.91046,Anaheim Police Department,Vehicle
Desert Hot Springs,CA,33.9249837,-116.49319,Riverside County Sheriff's Department,Vehicle
Escondido,CA,33.2185909,-117.0337,Escondido Police Department,Vehicle
Escondido,CA,33.2185909,-117.0337,Escondido Police Department,Vehicle
Los Angeles,CA,34.0280561,-118.21939,California Highway Patrol,Vehicle
Los Angeles,CA,34.0280561,-118.21939,California Highway Patrol,Vehicle
Los Angeles,CA,34.0280561,-118.21939,California Highway Patrol,Vehicle
Oakland,CA,37.7729316,-122.21618,Oakland Police Department,Vehicle
Oakland,CA,37.7729316,-122.21618,Oakland Police Department,Vehicle
Lemoore,CA,36.2430734,-119.81629,Lemoore Police Department,Vehicle
Escondido,CA,33.1290079,-117.07727,Escondido Police Department,Vehicle
Long Beach,CA,33.7971215,-118.18067,Long Beach Police Department,Vehicle
Glamis,CA,33.0106044,-115.05047,U.S. Border Patrol,Vehicle
Glamis,CA,33.0106044,-115.05047,U.S. Border Patrol,Vehicle
Glamis,CA,33.0106044,-115.05047,U.S. Border Patrol,Vehicle
Glamis,CA,33.0106044,-115.05047,U.S. Border Patrol,Vehicle
Los Angeles,CA,33.9573789,-118.27824,Los Angeles Police Department,Vehicle
Oakland,CA,37.8156129,-122.28395,Oakland Police Department,Vehicle
Yorba Linda,CA,33.880783,-117.73572,Brea Police Department,Vehicle
Highland,CA,34.1358273,-117.2001,San Bernardino County Sheriff's Office,Vehicle
Los Angeles,CA,34.0944446,-118.3592,California Highway Patrol,Vehicle
Los Angeles,CA,34.0944446,-118.3592,California Highway Patrol,Vehicle
Fresno,CA,36.8229322,-119.78141,California Highway Patrol,Vehicle
Montclair,CA,34.0558238,-117.70684,Montclair Police Department,Vehicle
Montclair,CA,34.0558238,-117.70684,Montclair Police Department,Vehicle
Sloughhouse,CA,38.4824274,-121.04368,California Highway Patrol,Vehicle
Madera,CA,36.9862918,-120.01964,Madera County Sheriff's Office,Vehicle
San Francisco,CA,37.7191823,-122.43577,San Francisco Police Department,Vehicle
Borrego Springs,CA,33.1370204,-116.37504,California Highway Patrol,Vehicle
Borrego Springs,CA,33.1370204,-116.37504,California Highway Patrol,Vehicle
Borrego Springs,CA,33.1370204,-116.37504,California Highway Patrol,Vehicle
Thousand Palms,CA,33.816576,-116.34648,Riverside County Sheriff's Department,Vehicle
Ripon,CA,37.7512119,-121.1413,Manteca Police Department,Vehicle
Fresno,CA,36.6344097,-119.74581,Fresno County Sheriff's Office,Vehicle
Fresno,CA,36.6344097,-119.74581,Fresno County Sheriff's Office,Vehicle
Chula Vista,CA,32.6401383,-117.08403,National City Police Department,Vehicle
Julian,CA,32.8781669,-116.20958,U.S. Customs and Border Protection,Vehicle
Oakland,CA,37.7590832,-122.18698,Oakland Police Department,Vehicle
Portola Valley,CA,37.4055718,-122.19402,Millbrae Police Department,Vehicle
Modesto,CA,37.6890971,-120.99429,Modesto Police Department,Vehicle
El Cajon,CA,32.8449189,-116.88123,"California Highway Patrol, U.S. Customs and Border Protection",Vehicle
El Cajon,CA,32.8449189,-116.88123,"California Highway Patrol, U.S. Customs and Border Protection",Vehicle
Arcata,CA,40.8741765,-124.0816,Arcata Police Department,Vehicle
Oakland,CA,37.7551421,-122.15036,Richmond Police Department,Vehicle
Costa Mesa,CA,33.6309428,-117.92496,Los Angeles County Sheriff's Department,Vehicle
Alpine,CA,32.8000747,-116.64928,U.S. Customs and Border Protection,Vehicle
Alpine,CA,32.8282886,-116.62692,U.S. Customs and Border Protection,Vehicle
Alpine,CA,32.8000747,-116.64928,U.S. Customs and Border Protection,Vehicle
Roseville,CA,38.7295487,-121.25589,Roseville Police Department,Vehicle
Los Angeles,CA,33.9739097,-118.25642,Los Angeles Police Department,Vehicle
Los Angeles,CA,33.9739097,-118.25642,Los Angeles Police Department,Vehicle
Los Angeles,CA,34.0108807,-118.33509,Los Angeles Police Department,Vehicle
Reseda,CA,34.186619,-118.52732,Los Angeles Police Department,Vehicle
Santa Ana,CA,33.7119718,-117.89747,Santa Ana Police Department,Vehicle
Corcoran,CA,36.070626,-119.53537,"Corcoran Police Department, Kings County Sheriff's Office",Vehicle
Simi Valley,CA,34.2571822,-118.77749,Simi Valley Police Department,Vehicle
Ontario,CA,34.0680815,-117.59208,Ontario Police Department,Vehicle
Anaheim,CA,33.8595081,-117.81837,Anaheim Police Department,Vehicle
Oakland,CA,37.7947457,-122.2125,Oakland Police Department,Vehicle
San Bernardino,CA,34.254734,-117.46142,San Bernardino Police Department,Vehicle
Folsom,CA,38.6646519,-121.16037,Folsom Police Department,Vehicle
Mission Valley,CA,32.7663838,-117.1623,California Highway Patrol,Vehicle
Lancaster,CA,34.6961377,-118.14048,Los Angeles County Sheriff's Department,Vehicle
Chula Vista,CA,32.616988,-117.0021,Chula Vista Police Department,Vehicle
Chula Vista,CA,32.616988,-117.0021,Chula Vista Police Department,Vehicle
Ramona,CA,33.1155386,-116.85323,San Diego County Sheriff's Office,Vehicle
Modesto,CA,37.6354764,-120.97477,Modesto Police Department,Vehicle
Modesto,CA,37.6354764,-120.97477,Modesto Police Department,Vehicle
Los Angeles,CA,34.0522342,-118.24368,Los Angeles Police Department,Vehicle
Citrus Heights,CA,38.7022921,-121.28064,Sacramento County Sheriff's Office,Vehicle
Hanford,CA,36.3426879,-119.64768,Hanford Police Department,Vehicle
San Francisco,CA,37.7630421,-122.42618,San Francisco Police Department,Vehicle
Sacramento,CA,38.5472095,-121.46457,Sacramento County Sheriff's Office,Vehicle
Los Angeles,CA,34.0459517,-118.25098,Los Angeles Police Department,Vehicle
Bellflower,CA,33.8830488,-118.12551,Long Beach Police Department,Vehicle
Bellflower,CA,33.8830488,-118.12551,Long Beach Police Department,Vehicle
Rio Linda,CA,38.6172166,-121.36329,Sacramento County Sheriff's Office,Vehicle
Los Angeles,CA,33.9528659,-118.27389,Los Angeles Police Department,Vehicle
Castaic,CA,34.4952568,-118.62273,Los Angeles Police Department,Vehicle
Montclair,CA,34.0831708,-117.69835,Ontario Police Department,Vehicle
Downey,CA,33.9315609,-118.12277,Downey Police Department,Vehicle
San Pedro,CA,33.7387593,-118.28572,Los Angeles Police Department,Vehicle
Oxnard,CA,34.2189891,-119.17722,California Highway Patrol,Vehicle
Anaheim,CA,33.8188483,-117.87802,Anaheim Police Department,Vehicle
Fresno,CA,36.793786,-119.84428,Fresno Police Department,Vehicle
Fresno,CA,36.793786,-119.84428,Fresno Police Department,Vehicle
Pauma Valley,CA,33.3297194,-117.00084,California Highway Patrol,Vehicle
Pauma Valley,CA,33.3297194,-117.00084,California Highway Patrol,Vehicle
Corona,CA,33.8764659,-117.52345,Corona Police Department,Vehicle
Spring Valley,CA,32.7445029,-117.0035,California Highway Patrol,Vehicle
Concord,CA,37.9541697,-122.05434,California Highway Patrol,Vehicle
Oakland,CA,37.7702938,-122.19217,Oakland Police Department,Vehicle
Madera,CA,36.9221284,-119.9413,Madera County Sheriff's Office,Vehicle
Madera,CA,36.9221284,-119.9413,Madera County Sheriff's Office,Vehicle
Escondido,CA,33.1983758,-117.12364,Escondido Police Department,Vehicle
Escondido,CA,33.1983758,-117.12364,Escondido Police Department,Vehicle
Chico,CA,39.7447185,-121.84247,Chico Police Department,Vehicle
Oxnard,CA,34.1757456,-119.19489,Oxnard Police Department,Vehicle
Lodi,CA,38.1160444,-121.25896,California Highway Patrol,Vehicle
Hayward,CA,37.6660546,-122.1063,Alameda County Sheriff's Office,Vehicle
Descanso,CA,32.6707083,-114.45436,U.S. Border Patrol,Vehicle
Descanso,CA,32.6707083,-114.45436,U.S. Border Patrol,Vehicle
Elk Grove,CA,38.4377286,-121.40267,Sacramento Police Department,Vehicle
Antioch,CA,37.9831093,-121.83564,Antioch Police Department,Vehicle
Los Angeles,CA,34.0409301,-118.25741,California Highway Patrol,Vehicle
Romoland,CA,33.7429148,-117.16996,Hemet Police Department,Vehicle
Palmdale,CA,34.5801973,-118.08505,Los Angeles County Sheriff's Department,Vehicle
Seaside,CA,36.6285346,-121.83775,California Highway Patrol,Vehicle
Long Beach,CA,33.7826082,-118.17797,Long Beach Police Department,Vehicle
Fremont,CA,37.4686468,-121.9079,San Jose Police Department,Vehicle
Vista,CA,33.2046819,-117.25422,Oceanside Police Department,Vehicle
Vista,CA,33.2046819,-117.25422,Oceanside Police Department,Vehicle
San Bernardino,CA,34.2986168,-117.45822,"California Highway Patrol, Barstow Police Department",Vehicle
Glendale,CA,34.1735802,-118.19285,"Los Angeles Police Department, Glendale Police Department",Vehicle
Los Angeles,CA,34.0458362,-118.24303,Los Angeles Police Department,Vehicle
Santa Rosa,CA,38.4525383,-122.75139,California Highway Patrol,Vehicle
Goshen,CA,36.3854165,-119.39458,California Highway Patrol,Vehicle
Van Nuys,CA,34.2282978,-118.46986,Los Angeles Police Department,Vehicle
Yorba Linda,CA,33.8627007,-117.78621,Brea Police Department,Vehicle
Yorba Linda,CA,33.8627007,-117.78621,Brea Police Department,Vehicle
Los Angeles,CA,34.021716,-118.37236,Culver City Police Department,Vehicle
Richmond,CA,37.943647,-122.33562,Richmond Police Department,Vehicle
Buena Park,CA,33.8634801,-118.00254,Buena Park Police Department,Vehicle
Berkeley,CA,37.852157,-122.28661,California Highway Patrol,Vehicle
Los Angeles,CA,34.2283114,-118.53617,Los Angeles Police Department,Vehicle
Cayucos,CA,35.478279,-120.99181,Morro Bay Police Department,Vehicle
Pacoima,CA,34.2792069,-118.42069,California Highway Patrol,Vehicle
Alhambra,CA,34.0688668,-118.15144,California Highway Patrol,Vehicle
Stockton,CA,37.954018,-121.23537,Stockton Unified School District Police Department,Vehicle
Stockton,CA,37.954018,-121.23537,Stockton Unified School District Police Department,Vehicle
Stockton,CA,37.954018,-121.23537,Stockton Unified School District Police Department,Vehicle
Stockton,CA,37.954018,-121.23537,Stockton Unified School District Police Department,Vehicle
Oceanside,CA,33.2004171,-117.37353,California Highway Patrol,Vehicle
Vernalis,CA,37.5663377,-121.28614,Manteca Police Department,Vehicle
Vernalis,CA,37.5663377,-121.28614,Manteca Police Department,Vehicle
Los Angeles,CA,33.9164228,-118.27421,Los Angeles Police Department,Vehicle
Encino,CA,34.1745588,-118.51832,Los Angeles Police Department,Vehicle
Pittsburg,CA,38.0404555,-121.96197,Contra Costa County Sheriff's Office,Vehicle
Costa Mesa,CA,33.6931781,-117.86829,Santa Ana Police Department,Vehicle
King City,CA,36.1705509,-121.05964,California Highway Patrol,Vehicle
Corning,CA,39.9280614,-122.19757,Corning Police Department,Vehicle
Ceres,CA,37.594592,-120.95945,Stanislaus County Sheriff's Office,Vehicle
Pleasanton,CA,37.7201222,-121.8718,Pleasanton Police Department,Vehicle
Placerville,CA,38.7335887,-120.75394,California Highway Patrol,Vehicle
Rolling Hills,CA,36.9232054,-119.79396,California Highway Patrol,Vehicle
Rolling Hills,CA,36.9232054,-119.79396,California Highway Patrol,Vehicle
San Francisco,CA,37.8080561,-122.47636,San Francisco Police Department,Vehicle
Fresno,CA,36.7317906,-119.79822,California Highway Patrol,Vehicle
Moorpark,CA,34.285409,-118.88089,Ventura County Sheriff's Office,Vehicle
Concord,CA,37.9731659,-121.96833,California Highway Patrol,Vehicle
Concord,CA,37.9731659,-121.96833,California Highway Patrol,Vehicle
Los Angeles,CA,34.182648,-118.44873,Los Angeles Police Department,Vehicle
Palm Springs,CA,33.8423341,-116.52817,Palm Springs Police Department,Vehicle
Thousand Oaks,CA,34.1565944,-118.83222,Ventura County Sheriff's Office,Vehicle
Long Beach,CA,33.8106783,-118.15113,Long Beach Police Department,Vehicle
Mount Signal,CA,32.679352,-115.65232,,Vehicle
Mount Signal,CA,32.679352,-115.65232,,Vehicle
Mount Signal,CA,32.679352,-115.65232,,Vehicle
Carlsbad,CA,33.1466697,-117.2899,Carlsbad Police Department,Vehicle
Santa Rosa,CA,38.4518593,-122.61912,California Highway Patrol,Vehicle
Farmersville,CA,36.3065702,-119.20614,Farmersville Police Department,Vehicle
National City,CA,32.680431,-117.09055,San Diego County Sheriff's Office,Vehicle
Sacramento,CA,38.4739487,-121.43378,Sacramento Police Department,Vehicle
Willits,CA,39.4708829,-123.36175,Mendocino County Sheriff's Office,Vehicle
